Fecha,Jugador,Equipo,DiferenciaDif.,% Dif,Acel.,Tend.,Valor,Valor ant.Ant.,Posición
2026-07-29,Karrikaburu,Real Sociedad,-18.648 | -36.085 | -54.373 | -138.276 | -316.109 | -602.709,"-2,29% | -4,33% | -6,38% | -14,78% | -28,39% | -43,05%",,23ddías,797.291,815.939 | 833.376 | 851.664 | 935.567 | 1.113.400 | 1.400.000,Delantero
2026-07-29,Sivera,Alavés,+467.485 | +1.002.428 | +1.429.014 | +3.213.259 | +5.479.103 | +6.661.030,"+2,21% | +4,85% | +7,06% | +17,42% | +33,86% | +44,41%",,21ddías,21.661.030,21.193.545 | 20.658.602 | 20.232.016 | 18.447.771 | 16.181.927 | 15.000.000,Portero
2026-07-29,Gorosabel,Athletic,-107.579 | -207.510 | -307.603 | -710.081 | -1.520.168 | -2.707.536,"-2,83% | -5,32% | -7,69% | -16,13% | -29,16% | -42,31%",,23ddías,3.692.464,3.800.043 | 3.899.974 | 4.000.067 | 4.402.545 | 5.212.632 | 6.400.000,Defensa
2026-07-29,Abqar,Getafe,+7.557 | +24.347 | +6.012 | -211.383 | -857.566 | -1.167.083,"+0,16% | +0,51% | +0,12% | -4,19% | -15,07% | -19,45%",,2ddías,4.832.917,4.825.360 | 4.808.570 | 4.826.905 | 5.044.300 | 5.690.483 | 6.000.000,Defensa
2026-07-29,Guevara,Alavés,-42.919 | -83.537 | -125.522 | -324.211 | -753.608 | -1.348.667,"-2,53% | -4,82% | -7,06% | -16,41% | -31,34% | -44,96%",,23ddías,1.651.333,1.694.252 | 1.734.870 | 1.776.855 | 1.975.544 | 2.404.941 | 3.000.000,Mediocampista
2026-07-29,Blanco,Alavés,-273.115 | -502.181 | -761.513 | -1.827.072 | -3.827.075 | +15.371.256,"-1,56% | -2,84% | -4,24% | -9,60% | -18,20% | +840,54%",,15ddías,17.199.992,17.473.107 | 17.702.173 | 17.961.505 | 19.027.064 | 21.027.067 | 1.828.736,Mediocampista
2026-07-29,Rioja,Valencia,-275.276 | -553.441 | -861.763 | -1.989.237 | -3.782.063 | -5.872.060,"-1,42% | -2,81% | -4,31% | -9,42% | -16,51% | -23,49%",,23ddías,19.127.940,19.403.216 | 19.681.381 | 19.989.703 | 21.117.177 | 22.910.003 | 25.000.000,Mediocampista
2026-07-29,Tenaglia,Alavés,-168.614 | -292.203 | -468.603 | -993.720 | -1.831.928 | -2.730.241,"-1,09% | -1,88% | -2,98% | -6,11% | -10,71% | -15,17%",,23ddías,15.269.759,15.438.373 | 15.561.962 | 15.738.362 | 16.263.479 | 17.101.687 | 18.000.000,Defensa
2026-07-29,Kike García,Espanyol,-149.976 | -279.676 | -420.097 | -982.618 | -2.155.200 | -3.116.520,"-2,49% | -4,54% | -6,66% | -14,31% | -26,81% | -34,63%",,21ddías,5.883.480,6.033.456 | 6.163.156 | 6.303.577 | 6.866.098 | 8.038.680 | 9.000.000,Delantero
2026-07-29,Guridi,Sevilla,0 | 0 | 0 | 0 | 0 | +19.315,"0,00% | 0,00% | 0,00% | 0,00% | 0,00% | +0,39%",,20ddías,5.019.315,5.019.315 | 5.019.315 | 5.019.315 | 5.019.315 | 5.019.315 | 5.000.000,Mediocampista
