Jugador,Equipo,DiferenciaDif.,% Dif,Acel.,Tend.,Próx. rivalRival,Valor,Valor ant.Ant.,Posición
Karrikaburu,Real Sociedad,-16.948 | -34.405 | -53.349 | -127.779 | -292.501 | -637.410,"-2,17% | -4,32% | -6,54% | -14,35% | -27,72% | -45,53%",,25ddías,0%,762.590,779.538 | 796.995 | 815.939 | 890.369 | 1.055.091 | 1.400.000,Delantero
Vlachodimos,Sevilla,0 | 0 | 0 | 0 | 0 | +56.479,"0,00% | 0,00% | 0,00% | 0,00% | 0,00% | +0,38%",,22ddías,🏠 95%,15.056.479,15.056.479 | 15.056.479 | 15.056.479 | 15.056.479 | 15.056.479 | 15.000.000,Portero
Diangana,Elche,-33.328 | -57.035 | -89.129 | -223.447 | -572.357 | -1.261.967,"-1,99% | -3,36% | -5,16% | -12,00% | -25,89% | -43,52%",,25ddías,60%,1.638.033,1.671.361 | 1.695.068 | 1.727.162 | 1.861.480 | 2.210.390 | 2.900.000,Delantero
Krug,Levante,0 | 0 | 0 | 0 | 0 | +2.249,"0,00% | 0,00% | 0,00% | 0,00% | 0,00% | +0,37%",,22ddías,,602.249,602.249 | 602.249 | 602.249 | 602.249 | 602.249 | 600.000,Defensa
Hugo López,Villarreal,0 | 0 | 0 | 0 | 0 | -14.600,"0,00% | 0,00% | 0,00% | 0,00% | 0,00% | -2,92%",,22ddías,,485.400,485.400 | 485.400 | 485.400 | 485.400 | 485.400 | 500.000,Mediocampista
Mikautadze,Villarreal,+69.017 | +198.937 | +255.177 | +1.304.818 | +4.129.404 | +2.330.604,"+0,13% | +0,38% | +0,49% | +2,56% | +8,57% | +4,66%",,18ddías,70%,52.330.604,52.261.587 | 52.131.667 | 52.075.427 | 51.025.786 | 48.201.200 | 50.000.000,Delantero
Navarro,Valencia,0 | 0 | 0 | 0 | 0 | +1.909,"0,00% | 0,00% | 0,00% | 0,00% | 0,00% | +0,38%",,22ddías,🏠,501.909,501.909 | 501.909 | 501.909 | 501.909 | 501.909 | 500.000,Defensa
Cardoso,Sevilla,-32.810 | -67.328 | -104.356 | -254.137 | -576.042 | -1.174.079,"-2,61% | -5,21% | -7,84% | -17,17% | -31,97% | -48,92%",,25ddías,🏠 0%,1.225.921,1.258.731 | 1.293.249 | 1.330.277 | 1.480.058 | 1.801.963 | 2.400.000,Defensa
Oso,Sevilla,0 | 0 | 0 | 0 | 0 | +53.332,"0,00% | 0,00% | 0,00% | 0,00% | 0,00% | +0,38%",,22ddías,🏠 30%,14.053.332,14.053.332 | 14.053.332 | 14.053.332 | 14.053.332 | 14.053.332 | 14.000.000,Defensa
Álex Costa,Sevilla,0 | 0 | 0 | 0 | 0 | +2.284,"0,00% | 0,00% | 0,00% | 0,00% | 0,00% | +0,38%",,22ddías,🏠,602.284,602.284 | 602.284 | 602.284 | 602.284 | 602.284 | 600.000,Delantero
Folgado,Real Sociedad,0 | 0 | 0 | 0 | 0 | +2.606,"0,00% | 0,00% | 0,00% | 0,00% | 0,00% | +0,37%",,22ddías,,702.606,702.606 | 702.606 | 702.606 | 702.606 | 702.606 | 700.000,Portero
Carlos Soler,Real Sociedad,-301.969 | -508.472 | -911.140 | -2.073.882 | -4.457.315 | -7.241.302,"-0,91% | -1,53% | -2,71% | -5,95% | -11,98% | -18,10%",,25ddías,80%,32.758.698,33.060.667 | 33.267.170 | 33.669.838 | 34.832.580 | 37.216.013 | 40.000.000,Mediocampista
